Customer,Satisfaction_Overall,Satisfaction_Quality,Satisfaction_Speed,Order_Accurate,Total_Score,Avg_Score,Category_of_Satisfaction
1,5.0,3.0,4.0,1,12.0,4.0,Satisfied
2,3.0,4.0,3.0,1,10.0,3.3333333333333335,Satisfied
3,4.0,5.0,2.0,1,11.0,3.6666666666666665,Satisfied
4,5.0,3.0,4.0,1,12.0,4.0,Satisfied
5,2.0,5.0,1.0,1,8.0,2.6666666666666665,Satisfied
6,5.0,2.0,5.0,1,12.0,4.0,Satisfied
7,1.0,4.0,3.0,1,8.0,2.6666666666666665,Satisfied
8,3.0,3.0,2.0,0,8.0,2.6666666666666665,Satisfied
9,5.0,1.0,3.0,1,9.0,3.0,Neutral
10,3.0,5.0,3.0,0,11.0,3.6666666666666665,Satisfied
11,5.0,3.0,4.0,1,12.0,4.0,Satisfied
12,2.0,2.0,5.0,1,9.0,3.0,Neutral
13,4.0,5.0,3.0,0,12.0,4.0,Satisfied
14,3.0,4.0,2.0,1,9.0,3.0,Neutral
15,1.0,5.0,1.0,1,7.0,2.3333333333333335,Satisfied
16,5.0,4.0,5.0,1,14.0,4.666666666666667,Satisfied
17,2.0,2.0,4.0,1,8.0,2.6666666666666665,Satisfied
18,4.0,5.0,4.0,0,13.0,4.333333333333333,Satisfied
19,5.0,1.0,5.0,1,11.0,3.6666666666666665,Satisfied
20,2.0,4.0,4.0,1,10.0,3.3333333333333335,Satisfied
21,5.0,5.0,1.0,1,11.0,3.6666666666666665,Satisfied
22,3.0,3.0,3.0,0,9.0,3.0,Neutral
23,1.0,5.0,5.0,1,11.0,3.6666666666666665,Satisfied
24,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
25,3.0,3.0,2.0,1,8.0,2.6666666666666665,Satisfied
26,2.0,3.0,4.0,1,9.0,3.0,Neutral
27,2.0,2.0,3.0,0,7.0,2.3333333333333335,Satisfied
28,4.0,5.0,4.0,1,13.0,4.333333333333333,Satisfied
29,4.0,1.0,2.0,1,7.0,2.3333333333333335,Satisfied
30,3.0,4.0,5.0,1,12.0,4.0,Satisfied
31,5.0,5.0,4.0,1,14.0,4.666666666666667,Satisfied
32,3.0,3.0,4.0,0,10.0,3.3333333333333335,Satisfied
33,1.0,2.0,5.0,1,8.0,2.6666666666666665,Satisfied
34,5.0,5.0,1.0,1,11.0,3.6666666666666665,Satisfied
35,5.0,1.0,2.0,1,8.0,2.6666666666666665,Satisfied
36,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
37,1.0,5.0,4.0,1,10.0,3.3333333333333335,Satisfied
